,category,year,month,Size,date
66,gastiferia,2019,1,32,2019-1
67,gastiferia,2019,2,31,2019-2
68,gastiferia,2019,3,23,2019-3
69,herramientas,2018,3,6,2018-3
70,herramientas,2018,4,4,2018-4
71,herramientas,2018,5,9,2018-5
72,herramientas,2018,6,6,2018-6
73,herramientas,2018,7,9,2018-7
74,herramientas,2018,8,13,2018-8
75,herramientas,2018,9,2,2018-9
76,herramientas,2018,10,5,2018-10
77,herramientas,2018,11,6,2018-11
78,herramientas,2018,12,11,2018-12
79,herramientas,2019,1,18,2019-1
80,herramientas,2019,2,13,2019-2
81,herramientas,2019,3,6,2019-3
82,iluminacion,2018,4,2,2018-4
83,iluminacion,2018,5,3,2018-5
84,iluminacion,2018,6,6,2018-6
85,iluminacion,2018,7,2,2018-7
86,iluminacion,2018,8,4,2018-8
87,iluminacion,2018,9,2,2018-9
88,iluminacion,2018,10,4,2018-10
89,iluminacion,2018,11,1,2018-11
90,iluminacion,2019,1,7,2019-1
91,iluminacion,2019,2,5,2019-2
92,iluminacion,2019,3,2,2019-3
93,mascotas,2018,6,2,2018-6
94,mascotas,2019,1,3,2019-1
95,mascotas,2019,2,2,2019-2
96,mascotas,2019,3,2,2019-3
97,muebles,2018,2,2,2018-2
98,muebles,2018,3,5,2018-3
99,muebles,2018,4,8,2018-4
100,muebles,2018,5,10,2018-5
101,muebles,2018,6,13,2018-6
102,muebles,2018,7,7,2018-7
103,muebles,2018,8,3,2018-8
104,muebles,2018,9,4,2018-9
105,muebles,2018,10,7,2018-10
106,muebles,2018,11,9,2018-11
107,muebles,2018,12,23,2018-12
108,muebles,2019,1,28,2019-1
109,muebles,2019,2,25,2019-2
110,muebles,2019,3,16,2019-3
111,muros,2018,2,13,2018-2
112,muros,2018,3,21,2018-3
113,muros,2018,4,44,2018-4
114,muros,2018,5,75,2018-5
115,muros,2018,6,64,2018-6
116,muros,2018,7,38,2018-7
117,muros,2018,8,76,2018-8
118,muros,2018,9,24,2018-9
119,muros,2018,10,33,2018-10
120,muros,2018,11,59,2018-11
121,muros,2018,12,86,2018-12
122,muros,2019,1,96,2019-1
123,muros,2019,2,107,2019-2
124,muros,2019,3,65,2019-3
125,nino,2018,3,1,2018-3
126,nino,2018,5,1,2018-5
127,nino,2018,12,2,2018-12
128,nino,2019,1,3,2019-1
129,pintura,2018,2,2,2018-2
130,pintura,2018,3,2,2018-3
131,pintura,2018,4,10,2018-4
132,pintura,2018,5,19,2018-5
133,pintura,2018,6,19,2018-6
134,pintura,2018,7,15,2018-7
135,pintura,2018,8,19,2018-8
136,pintura,2018,9,14,2018-9
137,pintura,2018,10,15,2018-10
138,pintura,2018,11,18,2018-11
139,pintura,2018,12,33,2018-12
140,pintura,2019,1,57,2019-1
141,pintura,2019,2,50,2019-2
142,pintura,2019,3,23,2019-3
143,pisos,2018,2,14,2018-2
144,pisos,2018,3,21,2018-3
145,pisos,2018,4,36,2018-4
146,pisos,2018,5,72,2018-5
147,pisos,2018,6,65,2018-6
148,pisos,2018,7,60,2018-7
149,pisos,2018,8,80,2018-8
150,pisos,2018,9,35,2018-9
151,pisos,2018,10,47,2018-10
152,pisos,2018,11,37,2018-11
153,pisos,2018,12,57,2018-12
154,pisos,2019,1,131,2019-1
155,pisos,2019,2,158,2019-2
156,pisos,2019,3,73,2019-3
157,puertasyventanas,2018,3,11,2018-3
158,puertasyventanas,2018,4,7,2018-4
159,puertasyventanas,2018,5,13,2018-5
160,puertasyventanas,2018,6,19,2018-6
161,puertasyventanas,2018,7,6,2018-7
162,puertasyventanas,2018,8,13,2018-8
163,puertasyventanas,2018,9,7,2018-9
164,puertasyventanas,2018,10,8,2018-10
165,puertasyventanas,2018,11,7,2018-11
166,puertasyventanas,2018,12,15,2018-12
167,puertasyventanas,2019,1,21,2019-1
168,puertasyventanas,2019,2,9,2019-2
169,puertasyventanas,2019,3,15,2019-3
170,quinchoyparrilla,2018,3,1,2018-3
171,quinchoyparrilla,2018,5,2,2018-5
172,quinchoyparrilla,2018,6,2,2018-6
173,quinchoyparrilla,2018,8,9,2018-8
174,quinchoyparrilla,2018,10,1,2018-10
175,quinchoyparrilla,2018,11,1,2018-11
176,quinchoyparrilla,2018,12,1,2018-12
177,quinchoyparrilla,2019,1,1,2019-1
178,quinchoyparrilla,2019,2,5,2019-2
179,techumbres,2018,2,5,2018-2
180,techumbres,2018,3,5,2018-3
181,techumbres,2018,4,18,2018-4
182,techumbres,2018,5,22,2018-5
183,techumbres,2018,6,18,2018-6
184,techumbres,2018,7,14,2018-7
185,techumbres,2018,8,25,2018-8
186,techumbres,2018,9,11,2018-9
187,techumbres,2018,10,9,2018-10
188,techumbres,2018,11,6,2018-11
189,techumbres,2018,12,21,2018-12
190,techumbres,2019,1,25,2019-1
191,techumbres,2019,2,21,2019-2
192,techumbres,2019,3,16,2019-3
